crop,region,soil_type,rainfall_mm,temperature_c,humidity_pct,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,ph,area_hectares,yield_tonnes_per_hectare
Sugarcane,West,Sandy,635.717468602799,24.721491955131057,62.36998693737837,70.2243417962268,63.47848720931841,54.77586628238019,6.6865431578206325,0.2404862514361803,78.83
Cotton,North,Black,960.7596340630387,23.632048562803746,93.44386863260306,31.683131654816286,29.28397170285424,46.60552347933446,6.615824667582557,1.754333173054612,2.14
Maize,West,Alluvial,1455.8150643410609,22.173152668550674,52.60063184698286,81.31860460595222,40.63107114917066,48.52359836469718,5.525592838733994,2.020272208095463,3.2
Cotton,West,Red,1169.404320439834,25.121669404021635,47.522535832764305,73.51102630404881,22.7250458227346,33.38960812544485,7.698219525136475,0.45145389506429107,2.14
Cotton,West,Laterite,1544.2138987176745,23.880998539677957,62.09549842999427,81.03795598235638,39.08045520659998,23.759499007425113,5.284028747553504,0.5708483209575029,1.8
Wheat,North,Sandy,1024.896158096273,31.364939929541507,59.00174316958923,67.60001429427335,38.46385105377013,37.72776279787076,7.5406264089389605,0.3322717987322805,3.72
Maize,North,Black,990.7447708524182,23.42111453092923,68.98968977163265,40.200125342678085,63.30434201306724,44.394183464123856,5.039019465988996,5.086295989287954,2.65
Maize,Central,Alluvial,1427.537555976112,29.254116392333387,76.89304535237586,73.4893903243067,48.063412092306244,48.603958109003116,7.949765945562424,0.4790845670539408,3.76
Maize,South,Alluvial,952.2357085481955,29.079134915574052,59.38206195264914,110.51010167989821,39.491538495737586,32.2640133012118,6.829921868358956,0.1,3.34
Cotton,South,Laterite,704.059028055645,19.494465041849935,96.6016818315052,54.74569740264032,39.297547188083655,29.876957248534765,6.087591605348922,3.667074046886918,2.2
Sugarcane,Central,Alluvial,1095.0262352852094,24.471502422755773,83.46045562605474,58.06770288655676,33.11278116483204,35.23181620329083,5.393376546484569,3.2514137424232272,90.64
Maize,Central,Alluvial,1336.7541945977182,26.449689241277003,53.54709652470992,91.37197510811102,36.41378196889464,51.98376412328854,6.487211029881566,1.2195798432111393,3.32
Soybean,West,Laterite,752.2157460756372,28.327059260613,63.813669803815074,49.049404984262296,41.23195338406217,12.938403999287988,6.86700005183847,3.190698776345332,2.28
Cotton,Central,Sandy,1176.7130619034099,25.818153383986527,72.9260436370346,85.64529694514448,69.08348767722401,35.7951890145937,6.545903344123807,1.1942806786991174,2.71
Wheat,East,Red,972.0290474007011,32.20957162710395,52.56629540395456,91.10103594484053,46.02692474153624,29.589646241259608,6.1742208183876075,0.5085319389551131,3.5
Sugarcane,South,Red,1135.4049353701168,27.52372989123825,34.029568300228824,65.92441799922088,24.469958469854404,47.45609973885553,5.918290636955244,1.1104418689210604,78.51
Soybean,Central,Black,1094.0601631135296,29.22757268532091,93.94068145956575,61.256283683316745,79.12064568501987,56.07359349599938,7.445047725957817,1.3344688477392024,2.83
Soybean,East,Sandy,875.7086825092518,24.03913273282372,48.39492765344475,44.77379450292199,55.51708657984004,15.551939436138554,6.244283935294428,0.1,3.39
Wheat,East,Black,968.1436416854373,29.300398755087624,77.7863660118454,60.22345739730612,54.57960193264181,44.76534896059082,6.7961665985624755,0.24056371480239735,5.15
Sugarcane,East,Red,894.0316519798587,36.681948029518324,75.50643981111,94.19419746707932,36.75999545498085,53.265766875137274,6.937193260099537,4.155128191508559,74.66
Cotton,East,Laterite,1035.624466011917,29.632926814447018,52.76225119411795,100.95638696424245,51.96281209727486,25.275793693936716,5.506735741185445,0.9965607134819238,2.09
Rice,West,Alluvial,746.1708395981316,32.515077373347864,94.39856231006922,81.5918190497573,44.56450394489177,54.52469195698704,6.418914840012157,0.8053395534222065,3.68
Sugarcane,East,Red,817.8745193515529,25.542252589967763,65.96883740324087,64.63867684307182,19.61077820563657,25.083474211578295,7.550579743808903,4.384889759831463,90.45
Wheat,West,Sandy,875.8118783442123,31.621230020156986,67.06652441083172,81.83274611166601,46.80459324683965,48.8878580986399,6.732493755964618,0.3358190211908093,4.49
Soybean,West,Red,1117.5108716864167,32.05784311919959,41.92615911348658,59.54191037204751,21.175913066008288,57.58513366813879,6.856561387966478,0.4892127467888944,3.45
Cotton,East,Sandy,575.3398212135462,28.22724310427291,33.32016110221357,84.4773700271106,44.47064251670653,28.62689304719589,6.160791447552218,3.519946397240065,3.14
Sugarcane,South,Sandy,967.8611095477204,26.626245314560883,61.36138115626016,98.67155241549989,45.86985541652778,36.035090754050785,7.370195248894914,0.6560491378875235,89.56
Rice,East,Sandy,787.5373007339443,19.52456374016533,84.45893687579894,68.36613473139668,26.31525849925992,56.7031745689228,8.061569375345409,2.006052988257375,3.55
Rice,East,Black,876.5764258945202,26.838077631176162,37.07259888224384,59.92260406911298,41.763463135023315,4.509365182850175,5.8792942630534,2.6908550690418847,5.17
Maize,East,Laterite,801.9492407454709,29.826117364618426,67.18030697087582,67.80705779685066,48.91688553663784,47.304914141547556,7.128445585879522,0.5039100297697379,3.22
Maize,South,Red,1058.3715942748927,23.173785186819686,66.22406372210081,107.18777769005229,32.31148208222715,66.97173112870036,5.398957047695282,0.5844723714132056,3.14
Wheat,North,Laterite,952.86601152433,20.649585330145698,83.61541000662274,149.78324879738236,46.857431060296626,0.0,6.986774251562677,1.4525605219613824,5.21
Sugarcane,North,Alluvial,1213.4830670963763,27.509758394495993,80.24719954079505,96.21458925959739,59.08458304189938,56.16067965999818,6.852325570045949,3.1424903108746953,60.2
Sugarcane,West,Red,1120.5194216249918,28.153329599667774,67.10422299412288,78.17107171579896,52.632296678947974,52.374740867332655,5.584688892387312,1.6165663585357328,105.52
Soybean,West,Laterite,538.8861746829864,20.263143793801625,63.59654692534679,55.662250800123836,35.351389895296506,39.193067191911005,7.24044160098668,0.13942140729233365,2.9
Soybean,South,Laterite,712.0002828114013,27.203858457631878,54.20211486338999,54.11080431859921,61.797838373761294,46.14780211888588,5.703122822078733,0.8641434291925296,2.71
Soybean,Central,Alluvial,948.0678141627964,28.44963779304387,47.81846974636791,90.69135012418816,51.293527088969455,43.68492929320862,8.046246514808658,0.802860138115858,3.25
Maize,North,Sandy,987.1194417990774,33.60651849600894,55.60400316201609,60.50495557580852,37.463366738633674,31.836476770003333,6.614889089015511,3.296377299013268,3.95
Sugarcane,West,Red,738.4657690762531,24.617404323807033,48.39782093798386,105.56210234739603,30.74814852574775,58.55735046129159,6.376677239563389,0.6840333718979643,81.51
Sugarcane,North,Red,1391.1923111543642,37.4321085753145,63.423456390418885,64.91719811501866,49.280867391088215,39.906102558684246,5.966133704904249,4.629668676313022,77.87
Rice,South,Alluvial,1259.4063222316706,27.26942610416814,64.47901606607729,115.5765997952885,56.280415876941866,45.904267341840864,6.98631897252832,0.8158889757021116,7.14
Maize,South,Sandy,506.5777472507331,20.99028733880865,60.879787667662214,69.76680521146716,57.01128895289368,25.5990671334446,6.772921524424219,0.43161156849750004,4.07
Cotton,Central,Red,1103.6279081075454,25.349072193842364,66.64028363163715,108.33601658414777,49.2445621765541,4.976147422957013,6.613912722939356,1.552796331432484,3.41
Maize,Central,Red,986.2610389832663,21.435768149730656,58.11215780366857,96.82544818944582,34.885629483784385,22.317449252730842,5.899751958278382,0.9767826184229697,3.67
Cotton,South,Red,1373.1625121713782,26.163810538572942,77.6249175748126,101.17333669647516,48.52187991167732,67.43760360340062,6.285733756003143,2.0859219167249914,2.34
Rice,West,Sandy,529.0348217369103,29.342332085055837,68.43072881457084,78.28666192595337,27.08740947691313,49.66304468165916,5.909810351073966,4.947053971569228,4.85
Wheat,North,Alluvial,1617.9564433720152,28.340942819820384,57.73967221179352,63.39442822199704,44.35043914422685,33.51938793233537,5.128124914050598,5.652836522284921,3.47
Sugarcane,East,Red,747.1163015200142,21.34937377973379,47.501989264774565,105.23762520459434,66.97457222437076,48.585595052802,6.388177770908997,0.515896013839976,94.93
Rice,Central,Laterite,1113.5580456796074,20.727534737313764,63.77630841855359,124.82853214636023,24.888076278203656,46.34280239651443,5.6090564980856525,0.3541219104667413,4.26
Sugarcane,East,Sandy,818.0929069282994,29.096945207645,82.11722948341928,54.94069374935964,31.697696324164745,12.986451762298277,8.114806610630328,5.625390912895089,78.05
Soybean,West,Black,887.152324371693,30.2204948998464,73.84166473606292,91.88872727186285,54.201431998919,52.74824894269956,8.001652765553695,3.347182962132935,2.42
Wheat,Central,Alluvial,493.17460315592757,24.555347522982473,76.3725459950835,91.79385065946128,26.854153006968758,11.378426643940827,6.782405720240192,0.6067450329765435,3.78
Wheat,East,Laterite,1359.0660291749687,14.311639089754344,75.86073312384178,84.14506593126988,63.020877328489405,30.568746626082643,5.035814423439271,3.269043634964843,4.11
Rice,West,Red,919.1057943275481,21.208004865493802,83.23492689013867,115.7781992624128,54.64186040716534,25.298042289353567,6.866220136902951,2.7022761751461384,5.15
Wheat,North,Black,939.5026261900971,31.931501843308396,77.93166286277,60.61121972652353,55.26774534629748,43.0160546835027,6.325454965643338,0.5848854361131086,4.37
Cotton,West,Alluvial,1693.7445716548236,23.307348562073063,67.23606303867112,107.4591322446644,57.06788736146546,43.16473773407686,7.391660352240705,4.724338086218815,2.19
Wheat,Central,Sandy,1287.8328126989763,25.263839875488696,58.8938678993413,73.06607164370389,20.61380966944009,0.0,7.315127153584591,0.7766397962103052,3.72
Sugarcane,South,Black,799.4916171483043,29.76669826688818,78.1396324494698,21.588416393942715,23.77535766053416,58.45138081793135,5.894583136454202,1.3085418206224442,67.4
Sugarcane,North,Black,816.923229890657,25.46864995596489,28.713480522265613,43.563700720735405,59.80151952953203,40.93673043135577,6.207826322747387,1.879433652358541,95.9
Sugarcane,East,Laterite,1077.9403631784594,33.98711430411564,84.01088507970789,80.89224904361299,35.39633823352976,54.44277840718458,6.149238077158322,0.4245636434539162,118.42
Sugarcane,Central,Alluvial,1231.218974054132,25.13281737799579,75.35015242944813,110.50205692131375,38.915708797875865,40.497230144109345,6.166234573091938,1.889833188772171,91.14
Cotton,South,Laterite,1525.7326149424425,22.696732609266544,89.57900331770642,107.03299179260262,50.618370735350325,42.6405303741305,5.232829495027305,2.450202049723971,2.25
Maize,West,Laterite,517.5701923633533,32.91136101508786,48.20613497054903,82.6342789802758,42.26960004587145,18.484764810400865,6.80590864030499,0.2141619592599608,2.31
Soybean,South,Red,1218.1057922062246,27.239030466917285,82.43044403340429,51.367598624631846,56.21028931087011,28.331076769710027,6.565085567329676,0.9539706273786102,2.7
Rice,Central,Sandy,1266.3007934305142,21.60801075731495,74.95340894027503,49.810036375370565,48.67746906419875,36.77408638354352,6.238781835411433,1.8938071114503754,5.16
Sugarcane,Central,Black,763.147944599383,29.359121863426818,55.8879386269735,90.51331306735669,37.03345967709022,50.440288171749174,6.7196187393915485,5.213250848189929,93.92
Wheat,South,Alluvial,891.9220295418156,25.528364182577462,62.95470896206996,78.94315463325458,38.57584939123861,33.23967598132025,6.76111092961742,4.432511626668433,4.7
Sugarcane,West,Sandy,510.900506633269,21.270680214508523,61.905935350709946,104.2740247434825,43.875212091394246,29.21176379965127,7.432576149212405,0.3718576670519715,107.69
Wheat,South,Sandy,849.7318913046311,27.475578864896715,59.525489807665096,71.69816873134475,45.84928157045259,26.448865702447158,7.216635955342484,1.8858233683072336,3.75
Soybean,Central,Alluvial,1069.6282254167327,26.209517488187444,44.770272869043886,60.701112015619394,52.07097078689168,45.37715313605655,7.32549937259029,0.20632105823021832,2.59
Soybean,Central,Sandy,1478.235238456607,18.562905600606413,82.61504248481515,73.04491339974271,42.48332250378377,38.626212469049264,5.781686172117054,0.6959370287879967,3.15
Soybean,East,Red,1505.9096376845955,21.70338002429638,50.80501212581966,79.67287911639995,38.73137927370013,26.75817649857524,5.603173324308646,1.8189791352465499,2.88
Wheat,East,Sandy,691.2101495156842,36.32672833230623,49.2537094468114,29.181544230801634,37.29917635245478,37.09606672053087,7.261049669909428,0.1697322716920653,3.0
Sugarcane,North,Red,1437.3577539570424,27.406547861785256,82.98746402477046,91.82326864895597,33.51813591109972,28.70702073624338,7.86652046403475,4.393966301272315,69.33
Soybean,Central,Black,415.1964234367455,33.73335238197867,43.95945328758687,83.56752572134502,64.07224578234812,25.325178940121738,7.17873382644051,3.53205070708127,3.18
Cotton,East,Black,824.5210244295153,28.544091000837792,60.460472182142546,103.67579135832612,26.901789355136085,16.028309783869393,6.7638867763905415,1.2825899802718363,2.51
Wheat,South,Laterite,909.4569678769606,33.18567992117019,50.086008388794255,99.50009156065417,21.093104598459853,19.616932726042283,6.505514525369978,1.3535803968476587,3.24
Wheat,West,Red,1075.5368172263043,29.77874317055108,89.55094956407024,107.08232872527387,53.370879924696695,39.208977841502076,8.788540210365918,4.263371692490275,4.19
Sugarcane,South,Black,1031.953102164066,22.268355132063434,82.15632376049963,122.01745779602429,47.22099171089269,9.602433964683314,7.166338074893938,0.10350754146693414,76.01
Wheat,West,Sandy,1109.709557265418,30.03412556220669,52.67482618576306,83.48898236663487,70.96602283757414,27.361741759730933,6.340080424484418,0.31069160000311535,4.68
Wheat,East,Alluvial,945.1127723469351,22.236114219977665,50.04436851342628,24.833778554697936,38.74857481974773,49.70557347003661,8.087064471417712,0.7363513507773366,4.25
Soybean,North,Alluvial,1287.8766065138498,31.64684517749651,76.50859133482582,101.5310385121556,39.5653646587392,54.72984050985831,7.87771506128622,0.9063221945556253,3.43
Sugarcane,South,Red,1207.5506912232154,28.088620258796354,71.50024717586722,109.97850276520444,27.645229072418957,45.552285988942565,5.353615282090365,8.755555762056794,95.22
Soybean,South,Laterite,913.1311385658662,27.093862619194432,59.68878136838489,74.31471967356056,41.511032119672215,52.23869931241772,5.517987606608869,0.319074722744752,3.11
Soybean,South,Sandy,1252.7181070571044,24.807344846901263,58.301641873363565,29.5863106444122,13.99315655491868,40.294909751298604,6.335056316585144,0.722237838142186,2.76
Sugarcane,West,Red,1620.5306021563238,30.992216511841438,61.491877717157,105.99635998291916,11.683464353589642,24.210049437530852,7.520629851216524,3.519939460664999,72.27
Rice,East,Alluvial,798.0224635630993,26.211736604582683,78.5289918362929,79.51637239474432,31.84904981419772,50.287472436989205,6.036228601186036,3.0682405344052217,5.65
Soybean,South,Red,1502.6009547802228,17.450524158274924,88.5606122798924,46.6351168152942,40.99479869132963,47.30042856708788,5.684117548072483,2.127359456649009,3.0
Cotton,South,Sandy,824.957405020003,18.42874291561345,92.34082038188723,73.31344681963957,31.19556849701305,31.900700052760314,7.151242122703499,0.7966366435006059,2.03
Cotton,North,Black,1423.0977867851493,20.65363840694757,53.983344026714185,79.87720484961112,31.322471869235486,30.663767028123168,4.956254701386794,0.2506206559582541,1.74
Wheat,North,Sandy,836.2191998940201,30.920901051895836,65.87030682774376,73.30512141406626,17.375464510262074,39.31517464842031,6.218985836644052,8.214439562209556,3.61
Cotton,East,Black,1229.698727546878,31.301252932590018,85.15270002655643,67.36232125976707,49.47335362828863,56.996185029749235,5.640942904263811,0.5791715337726877,2.92
